payload,source,destination,protocol
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
74,192.168.153.130,192.168.153.141,TCP
88,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
74,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
88,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
74,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
88,192.168.153.130,192.168.153.141,TCP
74,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
74,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
88,192.168.153.130,192.168.153.141,TCP
